human	mouse	corrs
PSRC1	Psrc1	1
ACBD5	Acbd5	1
ADCY8	Adcy1	0.65113908062334
PLK5	Plk5	1
TCHP	Tchp	1
LPCAT2BP	Lpcat2b	1
COBL	Cobl	1
NCOA3	Ncoa3	1
CA13	Car13	1
PCDH15	Pcdh15	1
DSTN	Dstn	1
MED31	Med31	1
ADGRG7	Adgrg7	1
PTPRQ	Ptprq	1
NXPH1	Nxph1	1
P3H4	P3h4	1
RBMY1E	Gm21704	0.65113908062334
NR0B1	Nr0b1	1
DSC2	Dsc2	0.624357807827356
DBH	Dbh	1
RETSAT	Retsat	1
YPEL1	Ypel1	1
CTTNBP2NL	Cttnbp2nl	1
ZFHX3	Zfhx3	1
OR52H1	Olfr651	1
VTA1	Vta1	1
SPCS1	Spcs1	1
PELP1	Pelp1	1
POPDC3	Popdc3	1
ANKMY1	Ankmy1	1
PARM1	Parm1	1
VPS53	Vps53	1
LHX2	Lhx2	0.910545386041401
FGFR4	Fgfr4	0.886350379979515
RNF32	Rnf32	1
FAM102B	Fam102b	1
DEFB106A	Defb34	1
HNMT	Hnmt	1
SLFN12L	Slfn1	1
TM4SF20	Tm4sf20	1
CTPS2	Ctps	0.600006123256944
FAM13A	Fam13a	1
DAGLA	Dagla	1
OR7A10	Olfr18	0.65113908062334
TMEM50A	Tmem50a	0.78155392227185
POU6F1	Pou6f1	1
PPP1R9B	Ppp1r9b	0.485748004759267
CNN2	Cnn2	1
RPL13A	Rpl13a	1
ZMAT4	Zmat4	1
ARHGAP24	Arhgap24	1
IL31	Il31	1
SLC25A4	Slc25a4	0.599040288468019
FRMD5	Frmd5	1
PODNL1	Podnl1	1
AAR2	Aar2	1
MEP1A	Mep1a	1
HLA-DRB5	H2-Eb2	0.678330273032717
XKR9	Xkr9	1
TBPL1	Tbpl1	1
COPB2	Copb2	0.795063598310759
USP39	Usp39	1
C5orf15	9530068E07Rik	1
ATP11A	Atp11a	0.42991126245913
CTPS1	Ctps2	0.196765980716956
P4HTM	P4htm	0.711098123076711
MCU	Mcu	1
DEFB107A	Defb13	0.631185441721137
PCBP4	Pcbp4	1
SIGLEC15	Siglec15	1
RRBP1	Rrbp1	0.873290284017664
FASTK	Fastk	1
CEACAM8	Psg16	0.342360147574463
PHLDB1	Phldb1	1
HSPA4	Hspa4	0.891546803597633
IL4	Il4	1
TNPO3	Tnpo3	1
RASAL3	Rasal3	1
SMU1	Smu1	1
MGAT2	Mgat2	1
MRPS36	Mrps36	1
SRSF5	Srsf5	1
GLYCTK	Glyctk	1
DNAJA4	Dnaja4	0.700942332835574
CYP7B1	Cyp7b1	1
CCL8	Ccl8	1
TMEM47	Tmem47	1
VSNL1	Hpcal4	1
FLNA	Flna	0.735440123377973
THSD1	Thsd1	1
ETV3	Etv3	1
ANGPT2	Angpt2	1
FEN1	Fen1	1
C19orf67	1700067K01Rik	1
AHRR	Ahrr	1
RAB11FIP3	Rab11fip3	0.75988611887329
DMXL1	Dmxl1	0.59387129354701
DOCK3	Dock3	0.882952480073356
LRRC24	Lrrc24	1
ZAR1	Zar1	1
PPARGC1B	Ppargc1b	1
GTPBP10	Gtpbp10	1
TSGA10	Tsga10	1
S100PBP	S100pbp	1
ZSWIM7	Zswim7	1
IL24	Il24	1
AMPH	Amph	1
PPP1R3D	Ppp1r3d	1
NPPC	Nppc	1
FOXP1	Foxp1	0.852092059457474
FAM217B	Fam217b	1
SEMA4F	Sema4f	1
DUOXA2	Duoxa2	1
SPINK5	Spink5	1
TRIM39	Trim39	0.534836929094836
CNOT2	Cnot2	1
MAPKAPK3	Mapkapk3	0.670424318424623
TMTC2	Tmtc2	1
DUOXA1	Duoxa1	1
PITPNM1	Pitpnm1	0.496018772447095
AGFG1	Agfg1	1
RBMY1A1	Rbmx	0.215394823568786
AARD	Aard	1
RIPPLY1	Ripply1	1
GK5	Gk5	1
ZBTB1	Zbtb1	1
TNFSF10	Tnfsf10	1
LAMB3	Lamb3	1
NCOA1	Ncoa1	1
SHE	She	1
IDI1	Idi1	1
CDK15	Cdk15	1
FUBP1	Fubp1	1
FAM76B	Fam76b	1
CXorf38	1810030O07Rik	1
TOX4	Tox4	1
CDH26	Cdh26	1
LRRC43	Lrrc43	1
BICD1	Bicd1	0.845854505970248
BSCL2	Bscl2	1
CHST3	Chst3	1
GTDC1	Gtdc1	1
UGT2A3	Ugt2b34	0.900739102769606
MDH1	Mdh1	1
NR3C1	Nr3c1	1
SH3BGR	Sh3bgr	1
CCDC33	Ccdc33	1
APTX	Aptx	1
LRP1B	Lrp1b	0.879273661047595
TMEM132A	Tmem132a	1
RASAL1	Rasal1	0.403726819896342
SLC23A3	Slc23a3	1
EFCAB6	Efcab6	1
SGMS1	Sgms1	1
RASSF10	Rassf10	1
TMEM191C	Tmem191c	0.862853131646319
RAD51AP1	Rad51ap1	1
EPHX4	Ephx4	0.881835933251305
FAM149A	Fam149a	1
IQSEC3	Iqsec3	1
TIAM1	Tiam1	1
WNT2	Wnt2	0.853021223884198
NUS1	Nus1	1
CDKL3	Cdkl3	1
SUMO1	Sumo1	1
DMXL2	Dmxl2	0.518451996648742
GSPT1	Gspt1	0.725825692598455
ZMPSTE24	Zmpste24	1
CABYR	Cabyr	1
CD302	Cd302	1
DBNDD1	Dbndd1	1
SNX27	Snx27	1
USPL1	Uspl1	1
ARHGAP19	Arhgap19	1
SLC34A3	Slc34a3	1
CLDN2	Cldn2	1
SSRP1	Ssrp1	1
THOC3	Thoc3	1
MYO1D	Myo1d	0.853200735886113
CHRM3	Chrm3	1
PPP1R35	Ppp1r35	1
OLR1	Olr1	0.760651558928814
SLC10A5	Slc10a5	1
GPAT2	Gpat2	1
MCPH1	Mcph1	1
GOLGA7B	Golga7b	0.692555393323634
YBX2	Ybx2	1
TIMM10	Timm10	1
SHISA6	Shisa6	1
LRRC14	Lrrc14	1
MSI1	Msi1	1
HAND1	Hand1	1
IMPA1	Impa1	1
MEPCE	Mepce	1
ZSCAN1	Zscan18	1
CIT	Cit	1
PIK3C3	Pik3c3	1
GJD3	Gjd3	1
PHF19	Phf19	0.807444938993285
TRNP1	Trnp1	1
ITGAM	Itgax	1
PAFAH2	Pafah2	1
CSRP1	Csrp1	1
NUDT6	Nudt6	1
MYBPHL	Mybphl	0.842601269141651
XAB2	Xab2	1
KEAP1	Keap1	1
HNRNPH2	Hnrnph2	1
ADGRV1	Adgrv1	1
OR52P1P	Olfr656	1
STK31	Stk31	1
NUTM2G	Nutm2	0.40782547478177
SPINK14	Spink14	1
SH3D21	Sh3d21	1
ATXN2	Atxn2	1
MRPL18	Mrpl18	1
WLS	Wls	1
GPR101	Gpr101	1
SCMH1	Scmh1	0.423900258542614
ZNF461	Zfp84	0.785411920460267
SRSF12	Srsf12	1
GUK1	Guk1	1
ZNF57	Zfp960	0.38005972243494
TNFRSF1B	Tnfrsf1b	1
KCP	Kcp	1
RBM46	Rbm46	0.477226223289785
SLC39A12	Slc39a12	1
NAV1	Nav1	0.794487008776764
SNX30	Snx30	1
SLC15A3	Slc15a3	1
DPY19L4	Dpy19l4	1
UNC119	Unc119	1
NWD1	Nwd1	1
DBNDD2	Dbndd2	1
ZFP41	Zfp41	1
ACTL6A	Actl6a	0.834822498276097
ACTL7B	Actl7b	1
LRRC6	Lrrc6	1
EFCAB3	Efcab3	1
PJA2	Pja2	1
ZNF365	Zfp365	1
GSAP	Gsap	1
HUS1	Hus1	1
FAM229A	Fam229a	1
HMGCL	Hmgcl	0.844758527894854
LURAP1L	Lurap1l	1
NXT1	Nxt1	1
YKT6	Ykt6	1
IKBKB	Ikbkb	0.758683520687291
DARS2	Dars2	1
PBX1	Pbx1	1
MEI4	Mei4	1
TMEM119	Tmem119	1
WDPCP	Wdpcp	1
ARL4D	Arl4d	0.470173132331555
SCTR	Sctr	1
NACC2	Nacc2	1
C1orf53	2310009B15Rik	1
TBL2	Tbl2	1
OR2T4	Olfr328	0.228291525961243
BAG6	Bag6	1
LRRC8D	Lrrc8d	0.789857376606024
DNAJC11	Dnajc11	1
F7	F7	1
OSBPL6	Osbpl6	0.607824492485868
MATN1	Matn1	1
PCDHGA2	Pcdhb17	0.821755064069519
ARPC2	Arpc2	1
ST8SIA6	St8sia6	1
SLC33A1	Slc33a1	1
DEGS1	9130409I23Rik	1
SMC1A	Smc1a	1
CA9	Car9	1
RABEP1	Rabep1	1
HNRNPLL	Hnrnpll	1
LENG1	Leng1	1
TMCO5B	Tmco5b	1
CSNK1D	Csnk1d	0.698987366961631
NOL12	Nol12	1
CNOT3	Cnot3	1
LASP1	Lasp1	1
NODAL	Nodal	1
L3MBTL4	L3mbtl4	1
ZNF185	Zfp185	1
IDH1	Idh1	0.731928589059403
MBOAT1	Mboat1	1
MOB3B	Mob3b	0.566330552743692
IRF4	Irf4	1
IP6K1	Ip6k1	1
MIXL1	Mixl1	1
IFNK	Ifnk	1
RPL22L1	Rpl22l1	1
CCR10	Ccr10	1
TRPC4AP	Trpc4ap	1
EHMT2	Ehmt1	1
BLMH	Blmh	1
DCTD	Dctd	1
GALNT11	Galnt11	0.722009243654558
ENG	Eng	1
UBE3C	Ube3c	1
DYNC2H1	Dync2h1	0.644188955953632
SRSF11	Srsf11	1
IMPG2	Impg2	1
SLC51A	Slc51a	1
HELQ	Helq	1
TRAM2	Tram2	1
VEZF1	Vezf1	1
CPN1	Cpn1	1
M1AP	M1ap	1
COL16A1	Col16a1	0.825679074328983
LRRC59	Lrrc59	1
OR52N2	Olfr503	0.65113908062334
PHLPP2	Phlpp2	0.799000088592293
CHRDL1	Chrdl1	1
MATN3	Matn3	1
DNAJC2	Dnajc2	1
GMPPA	Gmppa	1
AKAP14	Akap14	1
TBC1D1	Tbc1d1	0.751429562641767
LACTB2	Lactb2	1
TUBD1	Tubd1	1
MICAL1	Mical1	0.748121881710929
KIFC1	Kifc1	1
GJC1	Gjc1	1
ZNF800	Zfp800	1
CNPPD1	Cnppd1	1
EHHADH	Ehhadh	1
SEC24D	Sec24d	0.748455261630645
SLC13A4	Slc13a4	1
ZC2HC1C	Zc2hc1c	1
OR4C46	Olfr1222	0.302526413371121
ABHD16B	Abhd16a	0.292741192566611
RTKN	Rtkn	1
ZNF426	Zfp266	0.746951034593952
DNAJC6	Dnajc6	0.866076115878509
GLIS2	Glis2	1
LRRC9	Lrrc9	0.87227368367292
BBS5	Bbs5	0.55388540960687
MRPL27	Mrpl27	1
PRSS41	Prss41	1
SCO1	Sco1	1
G0S2	G0s2	1
NEBL	Nebl	1
PAQR8	Paqr8	1
EME1	Eme1	1
TCP1	Tcp1	1
CRTAP	Crtap	1
KDM4A	Kdm4c	0.726146476818796
KAT2A	Kat2a	0.431385197572178
ARHGEF10	Arhgef10	0.810272864960764
PPCS	Ppcs	1
CASQ1	Casq1	0.9254456974659
NMD3	Nmd3	1
PCDHAC2	Pcdhac2	0.772102584683924
DYNLL1	BC048507	0.65113908062334
MFAP2	Mfap2	1
MCCC1	Mccc1	1
BMI1	Bmi1	0.655648190772799
IL2RG	Gm20489	1
ZZEF1	Zzef1	1
APOH	Apoh	1
GLI2	Gli2	0.899208205177813
ZDBF2	Zdbf2	1
PMF1	Pmf1	0.837951961864123
BTBD10	Btbd10	1
NPEPL1	Npepl1	1
CCDC86	Ccdc86	1
HIPK2	Hipk2	1
SMAD3	Smad3	0.63355007948353
ATP6AP2	Atp6ap2	1
TTLL7	Ttll7	1
FABP9	Fabp9	1
HPN	Hpn	1
PRSS37	Prss37	1
CCDC74B	Ccdc74a	0.657576328188414
CAT	Cat	1
VPS29	Vps29	1
TMC4	Tmc4	1
ATP8B2	Atp8b2	1
SNAP25	Snap25	1
RNF20	Rnf20	1
SH3GLB1	Sh3glb1	1
NPLOC4	Nploc4	1
RSPH4A	Rsph4a	0.858621321139137
FBXO5	Fbxo5	1
SGPL1	Sgpl1	1
UBE2L3	Ube2l3	1
PDP1	Pdp1	1
TRPM2	Trpm2	1
CAPN10	Capn10	1
OR10J5	Olfr16	0.836055520270486
ZNF747	E430018J23Rik	0.726996946438122
ERCC6L2	Ercc6l2	1
RSPH10B2	Rsph10b	0.808915517081876
OR9A4	Olfr460	1
SGIP1	Sgip1	1
OR6K2	Olfr424	1
CCDC116	Ccdc116	1
ABL1	Abl1	0.669820996911908
RPA2	Rpa2	0.762668196757113
PPARA	Ppara	1
PYGM	Pygm	0.887202842035513
GRB2	Grb2	1
EXO1	Exo1	1
KNSTRN	Knstrn	1
MS4A13	Ms4a13	1
EXOC2	Exoc2	1
TMTC1	Tmtc1	1
UCP2	Ucp2	0.861798086408212
HEPHL1	Hephl1	1
SUV39H2	Suv39h2	1
MRGPRF	Mrgprf	1
C1QC	C1qc	1
ANKH	Ank	1
PLAGL1	Plagl1	1
AKAP1	Akap1	1
CTTN	Cttn	1
DUSP8	Dusp8	1
TIMM10B	Timm10b	1
LRRC34	Lrrc34	1
ZFPL1	Zfpl1	1
NEU1	Neu1	1
YDJC	Ydjc	1
IQSEC1	Iqsec1	1
ANKLE2	Ankle2	1
KLHL18	Klhl18	1
ARHGAP11B	Arhgap11a	0.820456392013752
PDK4	Pdk4	1
NEFL	Nefl	1
KREMEN1	Kremen1	1
FAHD2A	Fahd2a	0.294893566639811
RNF169	Rnf169	1
OPTN	Optn	1
RFK	Rfk	1
ZDHHC12	Zdhhc12	1
C1QA	C1qa	1
PDLIM2	Pdlim2	1
CHRM5	Chrm5	1
ZNF557	E4f1	1
SLFN12	Slfn4	0.478725883918545
DACT1	Dact1	1
HDAC7	Hdac7	0.46632913449373
CHD5	Chd5	0.875637720598603
RNF13	Rnf13	1
SCAI	Scai	1
IRF5	Irf5	1
RFX8	Rfx8	1
SLC28A3	Slc28a3	1
TTC39A	Ttc39a	1
VNN3	Vnn3	0.959849110402514
PHLDA3	Phlda3	1
BEND7	Bend7	1
FXN	Fxn	1
NOP16	Nop16	1
CROT	Crot	1
ADAP1	Adap1	1
HIGD1B	Higd1b	0.936507696333271
KLHL30	Klhl30	1
MPZL2	Mpzl2	1
KIF4A	Kif4	0.762252351136855
C12orf71	1700034J05Rik	1
SPAG7	Spag7	1
VCAM1	Vcam1	1
ADGRA2	Adgra2	0.744724331969223
PAM16	Pam16	1
FASTKD1	Fastkd1	1
SLC7A13	Slc7a13	1
ABT1	Abt1	1
PRND	Prnd	1
DRG1	Drg1	1
CDK5RAP2	Cdk5rap2	1
CXorf57	D330045A20Rik	1
NDUFAB1	Ndufab1	1
RNF19B	Rnf19b	1
WNT7B	Wnt7a	1
SRGN	Srgn	1
NSFL1C	Nsfl1c	1
SLC31A2	Slc31a2	1
MRPL54	Mrpl54	1
GPR33	Gpr33	1
SLC6A18	Slc6a20b	1
SBK3	Sbk3	1
ZNF785	Zfp688	0.644749582051555
OR13D1	Olfr270	1
USP7	Usp7	1
MAD2L1	Mad2l1	1
NLGN1	Nlgn2	1
LIX1	Lix1	1
ACBD3	Acbd3	1
MAPRE2	Mapre2	1
DNHD1	Dnhd1	1
GFPT1	Gfpt1	0.575255735094262
EDAR	Edar	1
CATSPER3	Catsper3	1
HRCT1	Hrct1	1
GPR62	Gpr62	1
ZNF101	AI987944	0.625984936172786
CMTR2	Cmtr2	1
CPD	Cpd	1
AP4E1	Ap4e1	1
PAK6	Pak6	1
GPR12	Gpr12	1
LRP6	Lrp6	1
UBQLN4	Ubqln1	1
TMEM196	Tmem196	1
SH3GL3	Sh3gl3	1
MYBL2	Mybl2	1
WIZ	Wiz	1
OR4A16	Olfr1251	0.14818710036818
MTFR1	Mtfr1	1
PTGDR2	Ptgdr2	1
IRAK1	Irak1	1
PLCZ1	Plcz1	1
PPP1CC	Ppp1cc	0.816178597954586
DCLRE1C	Dclre1c	1
FGF12	Fgf13	0.673682143107896
PEX11B	Pex11b	1
RSU1	Rsu1	0.680075263404873
FAM98A	Fam98a	1
ABO	Abo	1
C2orf74	1700093K21Rik	1
ADAM30	Adam30	1
PPFIBP1	Ppfibp1	0.71650792881381
PLEKHA3	Plekha3	1
BAIAP2L2	Baiap2l2	1
TAP1	Tap1	1
CALCOCO2	Calcoco2	1
SLC25A43	Slc25a43	1
HEATR9	Heatr9	1
ZNF345	AW146154	0.689042359330127
PUS1	Pus1	1
FBXO9	Fbxo9	1
ACTL9	Actl9	1
SYNGR4	Syngr4	1
GDPD1	Gdpd1	1
PRSS22	Prss22	1
CCDC51	Ccdc51	1
LGALS12	Lgals12	1
PTHLH	Pthlh	1
KLF11	Klf11	1
RBM15	Rbm15	1
TMEM150C	Tmem150c	1
CAMP	Camp	1
PRM1	Prm1	1
IFT80	Ift80	1
ATG16L1	Atg16l1	1
MMP9	Mmp9	1
PRB1	Prpmp5	0.335367040115492
PKN3	Pkn3	0.713835127721185
GNAQ	Gnaq	0.563282421357147
MPDU1	Mpdu1	1
LCK	Lck	0.950631751954352
FAM199X	Fam199x	1
GSTCD	Gstcd	1
ACTR3B	Actr3b	0.596898801118589
TMA7	Tma7	1
KIAA1614	BC034090	1
PAPLN	Papln	1
TMEM234	Tmem234	1
SLC26A1	Slc26a1	0.824157116638775
COX19	Cox19	1
KCTD19	Kctd19	1
HAX1	Hax1	1
CA11	Car11	1
SETMAR	Setmar	1
THEM7P	Them7	1
PROCA1	Proca1	1
NLN	Nln	1
KRTAP5-1	Krtap5-4	1
SPTBN5	Sptbn5	1
CUEDC1	Cuedc1	1
CALN1	Caln1	1
PRNP	Prnp	1
RAPSN	Rapsn	1
EI24	Ei24	1
TBR1	Tbr1	1
LRRC69	Lrriq4	0.615582878506592
CD79A	Cd79a	1
MYO1C	Myo1c	0.697278726628506
TMEM70	Tmem70	1
NEFM	Nefm	1
GTF3C2	Gm29609	1
BNIP3L	Bnip3l	0.78816299030919
TOMM22	Tomm22	1
TM9SF4	Tm9sf4	1
GPLD1	Gpld1	1
CHMP5	Chmp5	1
METTL24	Mettl24	1
SF3B4	Sf3b4	1
TMEM53	Tmem53	1
NTAN1	Ntan1	1
ASIC2	Asic2	0.933484149701008
HIST3H2BB	Hist3h2ba	0.801983880262498
CAPN3	Capn3	0.678066428786413
GLCCI1	Glcci1	1
PRR22	Prr22	1
MTMR11	Mtmr11	1
IBSP	Ibsp	1
EVC	Evc	1
FAM126B	Fam126b	1
BCL7B	Bcl7b	1
KDELC1	Kdelc1	1
RTCA	Rtca	1
ANK1	Ank1	0.779646872369751
BOC	Boc	1
MTMR2	Mtmr2	0.836613818275842
MEOX1	Meox1	1
ELAC1	Elac1	1
CREG1	Creg1	1
ACTR3	Actr3	0.901026389922115
PRSS48	Prss32	1
FIS1	Fis1	1
PSMD11	Psmd11	1
FAM81A	Fam81a	1
PELI1	Peli1	0.766770961073648
ARHGAP28	Arhgap28	1
ST6GALNAC6	St6galnac6	1
RPA3	Rpa3	1
DDX20	Ddx20	0.85959642865724
SHROOM3	Shroom3	1
DCHS1	Dchs1	1
CYB5R3	Cyb5r3	1
CDHR2	Cdhr2	1
CLDN16	Cldn16	1
ARFIP2	Arfip2	1
ZC3H18	Zc3h18	1
KPNA6	Kpna6	0.604075116513107
IDUA	Idua	1
ATP1A2	Atp1a2	1
FBXO22	Fbxo22	1
FAF2	Faf2	1
POM121L2	Pom121l2	0.616337667655793
NEURL1B	Neurl1b	1
HDX	Hdx	1
WDR81	Wdr81	1
FANCE	Fance	1
RXFP2	Rxfp1	1
CLN8	Cln8	0.401953703012345
SAFB2	Safb2	1
SEPT8	Sept8	0.663781462870349
TP53INP1	Trp53inp1	1
TNIP2	Tnip2	1
CISD2	Cisd2	1
PDC	Pdc	1
CDK3	E030030I06Rik	1
NFE2L1	Nfe2l1	1
KAZALD1	Kazald1	1
ESAM	Esam	1
NBR1	Nbr1	1
NUDT2	Nudt2	1
PEAR1	Pear1	0.354535507218335
TTC29	Ttc29	1
ENPP6	Enpp6	1
EPM2A	Epm2a	1
MAGIX	Magix	1
SAMD15	Samd15	1
PHF13	Phf13	1
RAD54L2	Rad54l2	1
ST3GAL5	St3gal5	1
GLA	Gla	1
PRSS21	Prss21	0.124164120951556
OR4E2	Olfr1509	1
EVA1A	Eva1a	1
PFKP	Pfkl	1
SYCP2L	Sycp2l	1
KLHL21	Klhl21	1
VEGFA	Vegfa	1
UGT3A1	Ugt3a2	1
IPO11	Ipo11	1
RNF123	Rnf123	1
OCLN	Ocln	1
ADAMTS6	Adamts10	1
TMEM37	Tmem37	1
FBXL18	Fbxl18	1
PSAT1	Psat1	1
ANKRD13D	Ankrd13d	0.284718752877985
TOX	Tox	1
RIT1	Rit1	1
GTSF1L	Gtsf1l	1
GPS2	Gps2	1
EGR2	Egr2	1
AURKAIP1	Aurkaip1	1
GALE	Gale	1
ITGB1BP1	Itgb1bp1	1
TMEM51	Tmem51	1
YARS	Yars	1
BRD3	Brd3	0.76630044554142
LSM4	Lsm4	1
DNAJC10	Dnajc10	1
NHP2	Nhp2	1
ANKRD33B	Ankrd33b	1
CARD6	Card6	1
REG4	Reg4	1
SUN3	Sun3	1
CEP128	Cep128	0.855404394241447
AK9	Ak9	1
SERPIND1	Serpind1	1
WWP1	Wwp1	0.478410607190097
TBC1D4	Tbc1d4	1
STYXL1	Styxl1	1
PSMG4	Psmg4	1
IPO13	Ipo13	1
SMCR8	Smcr8	1
DEK	Dek	1
EIF4EBP3	Eif4ebp3	1
HSPA14	Hspa14	1
GPR85	Gpr85	1
SH3D19	Sh3d19	1
IDH3G	4933405O20Rik	1
RSRC2	Rsrc2	1
ATXN2L	Atxn2l	1
PI15	Pi15	0.397186698071935
ZNF282	Zfp282	1
ANKRD20A3	Ccdc144b	0.579868932426607
DLGAP2	Dlgap2	1
GALNT7	Galnt7	1
OLFML1	Olfml1	1
EML2	Eml2	0.402594742404881
ADAM29	Adam34	1
ICOS	Icos	1
ASIC4	Asic4	1
BAG2	Bag2	1
RPLP2	Rplp2	1
RAB2B	Rab2b	0.7344908287155
ANKHD1	Ankhd1	0.80934351314399
NUDT3	Nudt3	1
CCND3	Ccnd2	1
GDAP2	Gdap2	0.651587476306509
FZD5	Fzd5	0.618315670870984
HMBOX1	Hmbox1	1
TRIM25	Trim25	1
LIMK1	Limk1	0.570871014193507
MUM1	Mum1	0.124471594997429
PAK3	Pak3	0.670600217883312
PIP4K2A	Pip4k2a	0.83576577196329
SNAP29	Snap29	1
SLCO5A1	Slco5a1	1
GJA10	Gja10	1
KBTBD2	Kbtbd2	1
RANBP1	Ranbp1	1
IFRD1	Ifrd1	1
TTLL1	Ttll1	1
NFIA	Nfia	0.877321553907496
PIK3CG	Pik3cg	1
MTCL1	Mtcl1	0.644529635808685
MGST2	Mgst2	1
PPP1R3F	Ppp1r3f	1
PI4KA	Pi4ka	1
SVOP	Svop	1
ENTPD3	Entpd3	1
PAXIP1	Paxip1	1
LYRM2	Lyrm2	1
IDO2	Ido2	1
PRX	Prx	1
VPS51	Vps51	1
STARD4	Stard4	1
ZNF689	Zfp689	1
DCUN1D1	Dcun1d1	0.332282387622507
GATA3	Gata3	1
ACADL	Acadl	1
TIMM23B	Timm23	0.431144015399904
ZBTB48	Zbtb48	1
PRR14	Prr14	1
RC3H2	Rc3h2	0.585843805678084
CNOT6L	Cnot6l	0.875135126162312
PRR14L	Prr14l	1
POLDIP3	Poldip3	1
RNF208	Rnf208	1
KCNA2	Kcna2	0.976249137441081
ADRA1B	Adra1b	1
RBM28	Rbm28	1
HIF1AN	Hif1an	0.478759186845626
SYT3	Syt3	1
TRAF4	Traf4	1
KPNA3	Kpna4	0.582191986271137
PARP4	Parp4	1
BARX2	Barx2	1
HIST1H2AB	Hist1h2aa	0.773564843929836
HILPDA	Hilpda	1
CEP162	Cep162	1
MDGA2	Mdga2	1
NAGS	Nags	1
HIST4H4	Hist1h4m	0.685005155715924
RPL36A	Rpl36al	0.810110060835473
FBH1	Fbxo18	1
FRMPD3	Frmpd3	1
TBPL2	Tbpl2	0.198442006255375
SHMT1	Shmt1	0.833425937988577
PDZD11	Pdzd11	1
TDRP	Tdrp	1
ADGRL4	Adgrl4	1
MRPL30	Mrpl30	1
STAT6	Stat6	1
PSMD8	Psmd8	1
GRB7	Grb7	1
LMF1	Lmf1	1
XXYLT1	Xxylt1	1
ZNF592	Zfp592	0.65611141632973
OR2I1P	Olfr94	1
TRIM17	Trim17	0.769058602603766
LHFPL1	Lhfpl1	1
PRADC1	Pradc1	1
WNK2	Wnk2	0.906887518831119
LARP4B	Larp4b	1
CYSRT1	Cysrt1	1
STRA6	Stra6	1
CTH	Cth	1
GPRASP2	Gprasp2	1
TGM5	Tgm5	0.174117097373307
PIANP	Pianp	1
C7orf26	E130309D02Rik	1
CFLAR	Cflar	1
UTF1	Utf1	1
PPP2R1B	Ppp2r1b	0.492478821733611
EHD3	Ehd3	0.242103215020435
ADCK5	Adck5	1
WNT6	Wnt6	1
OR10C1	Olfr95	1
ANKRD63	Ankrd63	1
UBE2E3	Ube2e3	1
MIB1	Mib1	0.431076161981513
RELL2	Rell2	1
WNK4	Wnk4	1
IP6K2	Ip6k2	1
SLC1A5	Slc1a5	1
INPP5F	Inpp5f	1
SLC25A14	Slc25a14	0.875838570684117
DDX5	Ddx5	1
NABP1	Nabp1	0.246739797461512
TP53TG5	Trp53tg5	1
PDE5A	Pde5a	1
LRRC49	Lrrc49	1
CYP2W1	Cyp2w1	1
SHISA5	Shisa5	1
EPS8L1	Eps8l1	1
CD7	Cd7	1
NOL6	Nol6	1
EGFR	Egfr	0.931478643540378
C7orf57	Gm11992	1
GLT1D1	Glt1d1	1
EHD4	Ehd1	1
SYS1	Sys1	1
XPO4	Xpo4	1
ECHDC1	Echdc1	1
ADAMTS2	Adamts2	1
METTL16	Mettl16	1
CAMK2D	Dclk1	1
HSPB9	Hspb9	1
PLA2G1B	Pla2g1b	1
RXYLT1	Tmem5	1
SLC12A5	Slc12a5	0.957248128721734
CHRNB1	Chrnb1	1
RNF215	Rnf215	1
RPP38	Rpp38	1
FAM71D	Fam71d	1
MATK	Matk	0.842655774421498
KMO	Kmo	1
WDR54	Wdr54	1
CLDN15	Cldn15	1
CHD1L	Chd1l	1
TRAPPC3	Trappc3	0.642148242164111
RASL11A	Rasl11a	1
HBP1	Hbp1	1
TNFRSF10C	Tnfrsf22	0.26779807722008
ATAD5	Atad5	1
ZBTB41	Zbtb41	1
ANKDD1B	Ankdd1b	0.826159270237664
ZNF444	Zfp444	0.460497045862272
CTSE	Ctse	1
CNOT8	Cnot8	0.713589461168463
PTPN6	Ptpn6	0.989068394867956
DOCK2	Dock2	0.936842102199352
SPNS1	Spns1	1
ATP5F1C	Atp5c1	1
ATF2	Atf2	1
UMAD1	Umad1	1
NUPR2	Nupr1l	1
SPP2	Spp2	1
TNFRSF8	Tnfrsf8	1
ACTL7A	Actl7a	1
TMPRSS7	Tmprss7	1
PPP1R18	Ppp1r18	1
MXRA8	Mxra8	1
ERAL1	Eral1	1
NUP35	Nup35	1
RPGR	Rpgr	1
HDAC11	Hdac11	1
DECR2	Decr2	1
CNTLN	Cntln	1
ASPHD1	Asphd1	1
HMG20B	Hmg20b	1
GLB1L2	Glb1l2	1
SECTM1	Sectm1b	1
CBX5	Cbx5	1
CCDC36	Ccdc36	1
PCTP	Pctp	1
NPFFR1	Npffr1	1
SPAG11A	Spag11a	0.425967962358222
TBC1D20	Tbc1d20	1
AGTR2	Agtr2	1
PSME2	Psme2	1
SMIM13	Smim13	1
TACC3	Tacc3	1
P2RX1	P2rx1	1
SLC1A3	Slc1a3	0.689692323489546
GPN3	Gpn3	1
ZNF488	Zfp488	1
ABCB8	Abcb8	1
SYNDIG1	Syndig1	1
HIST3H2A	Hist3h2a	0.183247881508781
FMR1NB	Fmr1nb	1
P2RX3	P2rx3	1
GRHL2	Grhl2	1
ATP6V1A	Atp6v1a	1
FAM120C	Fam120c	0.51668997630331
